Line,Message
295,"LOG>> NRC = 31 (requestOutOfRange)"
297,"2025-10-21T10:51:40,742 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
317,"2025-10-21T10:51:40,753 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
338,"2025-10-21T10:51:40,764 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
358,"2025-10-21T10:51:40,775 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
947,"LOG>> F188 Validation FAIL"
955,"LOG>> 8068 Validation FAIL"
963,"LOG>> 8033 Validation FAIL"
1021,"LOG>> Failed update!!!"
1023,"2025-10-21T10:51:57,495 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateFlashActionDIDsAgainstModule text: Update was not successful!"
1025,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
1026,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
1027,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
1030,"FAIL - NU5T-14H211-CA is NOT installed"
1031,"FAIL - PU5T-14H211-ADA is NOT installed"
1032,"FAIL - PU5T-14H212-ANF is NOT installed"
1033,"FAIL - PU5T-14H212-APF is NOT installed"
1034,"FAIL - PU5T-14H212-ARF is NOT installed"
1035,"FAIL - PU5T-14H212-ASF is NOT installed"
1036,"FAIL - PU5T-14H212-ATF is NOT installed"
1037,"FAIL - PU5T-14H213-ANF is NOT installed"
1038,"FAIL - PU5T-14H213-APF is NOT installed"
1039,"FAIL - PU5T-14H213-ARF is NOT installed"
1040,"FAIL - PU5T-14H237-CB is NOT installed"
1044,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
1045,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
1046,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
1049,"FAIL - NU5T-14H211-CA is NOT installed"
1050,"FAIL - PU5T-14H211-ADA is NOT installed"
1051,"FAIL - PU5T-14H212-ANF is NOT installed"
1052,"FAIL - PU5T-14H212-APF is NOT installed"
1053,"FAIL - PU5T-14H212-ARF is NOT installed"
1054,"FAIL - PU5T-14H212-ASF is NOT installed"
1055,"FAIL - PU5T-14H212-ATF is NOT installed"
1056,"FAIL - PU5T-14H213-ANF is NOT installed"
1057,"FAIL - PU5T-14H213-APF is NOT installed"
1058,"FAIL - PU5T-14H213-ARF is NOT installed"
1059,"FAIL - PU5T-14H237-CB is NOT installed"
1080,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
1081,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
1082,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
1085,"FAIL - NU5T-14H211-CA is NOT installed"
1086,"FAIL - PU5T-14H211-ADA is NOT installed"
1087,"FAIL - PU5T-14H212-ANF is NOT installed"
1088,"FAIL - PU5T-14H212-APF is NOT installed"
1089,"FAIL - PU5T-14H212-ARF is NOT installed"
1090,"FAIL - PU5T-14H212-ASF is NOT installed"
1091,"FAIL - PU5T-14H212-ATF is NOT installed"
1092,"FAIL - PU5T-14H213-ANF is NOT installed"
1093,"FAIL - PU5T-14H213-APF is NOT installed"
1094,"FAIL - PU5T-14H213-ARF is NOT installed"
1095,"FAIL - PU5T-14H237-CB is NOT installed"
1097,"2025-10-21T10:51:57,522 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateFlashActionDIDsAgainstModule text: Update was not successful!"
1099,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
1100,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
1101,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
1104,"FAIL - NU5T-14H211-CA is NOT installed"
1105,"FAIL - PU5T-14H211-ADA is NOT installed"
1106,"FAIL - PU5T-14H212-ANF is NOT installed"
1107,"FAIL - PU5T-14H212-APF is NOT installed"
1108,"FAIL - PU5T-14H212-ARF is NOT installed"
1109,"FAIL - PU5T-14H212-ASF is NOT installed"
1110,"FAIL - PU5T-14H212-ATF is NOT installed"
1111,"FAIL - PU5T-14H213-ANF is NOT installed"
1112,"FAIL - PU5T-14H213-APF is NOT installed"
1113,"FAIL - PU5T-14H213-ARF is NOT installed"
1114,"FAIL - PU5T-14H237-CB is NOT installed"
1118,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
1119,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
1120,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
1123,"FAIL - NU5T-14H211-CA is NOT installed"
1124,"FAIL - PU5T-14H211-ADA is NOT installed"
1125,"FAIL - PU5T-14H212-ANF is NOT installed"
1126,"FAIL - PU5T-14H212-APF is NOT installed"
1127,"FAIL - PU5T-14H212-ARF is NOT installed"
1128,"FAIL - PU5T-14H212-ASF is NOT installed"
1129,"FAIL - PU5T-14H212-ATF is NOT installed"
1130,"FAIL - PU5T-14H213-ANF is NOT installed"
1131,"FAIL - PU5T-14H213-APF is NOT installed"
1132,"FAIL - PU5T-14H213-ARF is NOT installed"
1133,"FAIL - PU5T-14H237-CB is NOT installed"
1149,"2025-10-21T10:53:33,309 INFO dflt.memory.MemoryMonitor - [MEMORY] Available virtual memory: 296 MB"
1223,"2025-10-21T10:53:41,309 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateSoftwareUpdateProcess text: SoftwareUpdateProcess"
1235,"LOG>> Update software programming failed, exit process"
1247,"2025-10-21T10:53:41,324 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateSoftwareUpdateProcess text: SoftwareUpdateProcess"
1267,"2025-10-21T10:53:41,337 ERROR otx.utils.ParallelExecutorOld - [TG] Parallel executor thread Thread[parallel-executor-7427-thread-2,5,tg-G2171556] got exception -> com.ford.etis.runtime.apps.otx.utils.exceptions.UserExceptionLiteral: Qualifier: ValidateSoftwareUpdateProcess text: SoftwareUpdateProcess"
1269,"2025-10-21T10:53:41,341 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateSoftwareUpdateProcess text: SoftwareUpdateProcess"
1323,"2025-10-21T10:53:43,371 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: CheckSoftwareLevel text: Handle exception"
1343,"2025-10-21T10:53:43,383 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: CheckSoftwareLevel text: Handle exception"
1367,"2025-10-21T10:53:43,396 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: CheckSoftwareLevel text: Handle exception"
1483,"LOG>> BEGIN ~~ BatteryCheck"
1497,"LOG>> Battery State of Charge SOC (percent) = 87"
1501,"LOG>> Battery voltage = 13.167"
1505,"LOG>> END ~~ BatteryCheck"
2247,"LOG>> errorDetails = SUCCESS"
2251,"LOG>> errorSource = FENIX."
2861,"LOG>> NRC = 31 (requestOutOfRange)"
2863,"2025-10-21T10:55:45,318 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
2883,"2025-10-21T10:55:45,329 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
2904,"2025-10-21T10:55:45,340 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
2924,"2025-10-21T10:55:45,351 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: Execute diag service text: Request out of range or security access required, skip to next DID."
3513,"LOG>> F188 Validation FAIL"
3521,"LOG>> 8068 Validation FAIL"
3529,"LOG>> 8033 Validation FAIL"
3587,"LOG>> Failed update!!!"
3589,"2025-10-21T10:56:02,168 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateFlashActionDIDsAgainstModule text: Update was not successful!"
3591,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3592,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3593,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3596,"FAIL - NU5T-14H211-CA is NOT installed"
3597,"FAIL - PU5T-14H211-ADA is NOT installed"
3598,"FAIL - PU5T-14H212-ANF is NOT installed"
3599,"FAIL - PU5T-14H212-APF is NOT installed"
3600,"FAIL - PU5T-14H212-ARF is NOT installed"
3601,"FAIL - PU5T-14H212-ASF is NOT installed"
3602,"FAIL - PU5T-14H212-ATF is NOT installed"
3603,"FAIL - PU5T-14H213-ANF is NOT installed"
3604,"FAIL - PU5T-14H213-APF is NOT installed"
3605,"FAIL - PU5T-14H213-ARF is NOT installed"
3606,"FAIL - PU5T-14H237-CB is NOT installed"
3610,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3611,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3612,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3615,"FAIL - NU5T-14H211-CA is NOT installed"
3616,"FAIL - PU5T-14H211-ADA is NOT installed"
3617,"FAIL - PU5T-14H212-ANF is NOT installed"
3618,"FAIL - PU5T-14H212-APF is NOT installed"
3619,"FAIL - PU5T-14H212-ARF is NOT installed"
3620,"FAIL - PU5T-14H212-ASF is NOT installed"
3621,"FAIL - PU5T-14H212-ATF is NOT installed"
3622,"FAIL - PU5T-14H213-ANF is NOT installed"
3623,"FAIL - PU5T-14H213-APF is NOT installed"
3624,"FAIL - PU5T-14H213-ARF is NOT installed"
3625,"FAIL - PU5T-14H237-CB is NOT installed"
3646,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3647,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3648,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3651,"FAIL - NU5T-14H211-CA is NOT installed"
3652,"FAIL - PU5T-14H211-ADA is NOT installed"
3653,"FAIL - PU5T-14H212-ANF is NOT installed"
3654,"FAIL - PU5T-14H212-APF is NOT installed"
3655,"FAIL - PU5T-14H212-ARF is NOT installed"
3656,"FAIL - PU5T-14H212-ASF is NOT installed"
3657,"FAIL - PU5T-14H212-ATF is NOT installed"
3658,"FAIL - PU5T-14H213-ANF is NOT installed"
3659,"FAIL - PU5T-14H213-APF is NOT installed"
3660,"FAIL - PU5T-14H213-ARF is NOT installed"
3661,"FAIL - PU5T-14H237-CB is NOT installed"
3663,"2025-10-21T10:56:02,197 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateFlashActionDIDsAgainstModule text: Update was not successful!"
3665,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3666,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3667,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3670,"FAIL - NU5T-14H211-CA is NOT installed"
3671,"FAIL - PU5T-14H211-ADA is NOT installed"
3672,"FAIL - PU5T-14H212-ANF is NOT installed"
3673,"FAIL - PU5T-14H212-APF is NOT installed"
3674,"FAIL - PU5T-14H212-ARF is NOT installed"
3675,"FAIL - PU5T-14H212-ASF is NOT installed"
3676,"FAIL - PU5T-14H212-ATF is NOT installed"
3677,"FAIL - PU5T-14H213-ANF is NOT installed"
3678,"FAIL - PU5T-14H213-APF is NOT installed"
3679,"FAIL - PU5T-14H213-ARF is NOT installed"
3680,"FAIL - PU5T-14H237-CB is NOT installed"
3684,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3685,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3686,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3689,"FAIL - NU5T-14H211-CA is NOT installed"
3690,"FAIL - PU5T-14H211-ADA is NOT installed"
3691,"FAIL - PU5T-14H212-ANF is NOT installed"
3692,"FAIL - PU5T-14H212-APF is NOT installed"
3693,"FAIL - PU5T-14H212-ARF is NOT installed"
3694,"FAIL - PU5T-14H212-ASF is NOT installed"
3695,"FAIL - PU5T-14H212-ATF is NOT installed"
3696,"FAIL - PU5T-14H213-ANF is NOT installed"
3697,"FAIL - PU5T-14H213-APF is NOT installed"
3698,"FAIL - PU5T-14H213-ARF is NOT installed"
3699,"FAIL - PU5T-14H237-CB is NOT installed"
3729,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3730,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3731,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3734,"FAIL - NU5T-14H211-CA is NOT installed"
3735,"FAIL - PU5T-14H211-ADA is NOT installed"
3736,"FAIL - PU5T-14H212-ANF is NOT installed"
3737,"FAIL - PU5T-14H212-APF is NOT installed"
3738,"FAIL - PU5T-14H212-ARF is NOT installed"
3739,"FAIL - PU5T-14H212-ASF is NOT installed"
3740,"FAIL - PU5T-14H212-ATF is NOT installed"
3741,"FAIL - PU5T-14H213-ANF is NOT installed"
3742,"FAIL - PU5T-14H213-APF is NOT installed"
3743,"FAIL - PU5T-14H213-ARF is NOT installed"
3744,"FAIL - PU5T-14H237-CB is NOT installed"
3746,"2025-10-21T10:56:08,095 ERROR otxcontainer.G2171556 - Error in application, message was: Qualifier: ValidateFlashActionDIDsAgainstModule text: Update was not successful!"
3748,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3749,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3750,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3753,"FAIL - NU5T-14H211-CA is NOT installed"
3754,"FAIL - PU5T-14H211-ADA is NOT installed"
3755,"FAIL - PU5T-14H212-ANF is NOT installed"
3756,"FAIL - PU5T-14H212-APF is NOT installed"
3757,"FAIL - PU5T-14H212-ARF is NOT installed"
3758,"FAIL - PU5T-14H212-ASF is NOT installed"
3759,"FAIL - PU5T-14H212-ATF is NOT installed"
3760,"FAIL - PU5T-14H213-ANF is NOT installed"
3761,"FAIL - PU5T-14H213-APF is NOT installed"
3762,"FAIL - PU5T-14H213-ARF is NOT installed"
3763,"FAIL - PU5T-14H237-CB is NOT installed"
3767,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3768,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
3769,"FAIL - 8033 = NU5T-14G682-DN >>> SHOULD = PU5T-14G682-FL"
3772,"FAIL - NU5T-14H211-CA is NOT installed"
3773,"FAIL - PU5T-14H211-ADA is NOT installed"
3774,"FAIL - PU5T-14H212-ANF is NOT installed"
3775,"FAIL - PU5T-14H212-APF is NOT installed"
3776,"FAIL - PU5T-14H212-ARF is NOT installed"
3777,"FAIL - PU5T-14H212-ASF is NOT installed"
3778,"FAIL - PU5T-14H212-ATF is NOT installed"
3779,"FAIL - PU5T-14H213-ANF is NOT installed"
3780,"FAIL - PU5T-14H213-APF is NOT installed"
3781,"FAIL - PU5T-14H213-ARF is NOT installed"
3782,"FAIL - PU5T-14H237-CB is NOT installed"
3795,"LOG>> Update software programming failed, exit process"
3807,"FAIL - F188 = NU5T-14G676-EC >>> SHOULD = PU5T-14G676-CC"
3808,"FAIL - 8068 = MU5T-14H236-MC >>> SHOULD = MU5T-14H236-MD"
